Table 1
Set;Card ID;Name;Number;Rarity;Type;
sor;76;Make An Opening;5;C;Standard;
sor;77;Takedown;3;U;Standard;
sor;78;Vanquish;6;C;Standard;
sor;79;Admiral Piett, Captain of the Executor;3;U;Standard;
sor;80;General Tagge, Concerned Commander;2;U;Standard;
sor;81;Seasoned Shoretrooper;5;C;Standard;
sor;82;Emperor's Royal Guard;;R;Standard;
sor;83;Superlaser Technician;6;C;Standard;
sor;84;Grand Moff Tarkin;3;S;Standard;
sor;85;Rukh, Thrawn's Assassin;;R;Standard;
sor;86;Gladiator Star Destroyer;4;C;Standard;
sor;87;Darth Vader, Commanding the First Legion;;L;Standard;
sor;88;Blizzard Assault AT-AT;4;U;Standard;
sor;89;Relentless;2;R;Standard;
sor;90;Devastator, Inescapable;;L;Standard;
sor;91;The Emperor's Legion;;R;Standard;
sor;92;Overwhelming Barrage;3;U;Standard;
sor;93;Alliance Dispatcher;3;C;Standard;
sor;94;Bail Organa, Rebel Councilor;;R;Standard;
sor;95;Battlefield Marine;5;C;Standard;
sor;96;Mon Mothma, Voice of the Rebellion;2;U;Standard;
sor;97;Admiral Akbar, Brilliant Strategist;3;R;Standard;
sor;98;Echo Base Defender;3;C;Standard;
sor;99;Bright Hope, The Last Transport;3;U;Standard;
sor;100;Wedge Antilles, Star of the Rebellion;1;R;Standard;
sor;101;Rogue Squadron Skirmisher;1;U;Standard;
sor;102;Home One, Alliance Flagship;;L;Standard;
sor;103;Rebel Assault;3;U;Standard;
sor;104;U-Wing Reinforcement;2;R;Standard;
sor;105;General Krell, Heartless Tactician;1;R;Standard;
sor;106;Attack Pattern Delta;1;U;Standard;
sor;107;Command;;L;Standard;
sor;108;Vanguard Infantry;2;C;Standard;
sor;109;Colonel Yularen, ISB Director;3;U;Standard;
sor;110;Frontline Shuttle;1;R;Standard;
sor;111;Patrolling V-Wing;3;C;Standard;
sor;112;Consortium StarViper;4;C;Standard;
sor;113;Homestead Militia;6;C;Standard;
sor;114;Escort Skiff;3;C;Standard;
sor;115;Agent Kallus, Seeking the Rebels;1;R;Standard;
sor;116;Steadfast Battalion;4;C;Standard;
sor;117;Mercenary Company;9;C;Standard;
sor;118;97th Legion, Keeping the Peace on Sullust;1;U;Standard;
sor;119;Reinforcement Walker;4;U;Standard;
sor;120;Academy Training;3;C;Standard;
sor;121;Hardpoint Heavy Blaster;2;U;Standard;
sor;122;Traitorous;1;R;Standard;
sor;123;Recruit;5;C;Standard;
sor;124;Tactical Advantage;6;C;Standard;
sor;125;Prepare for Takeoff;3;U;Standard;
sor;126;Resupply;7;C;Standard;
sor;127;Strike True;7;C;Standard;
sor;128;Death Star Stormtrooper;6;C;Standard;
sor;129;Admiral Ozzel, Overconfident;5;U;Standard;
sor;130;First Legion Snowtrooper;9;C;Standard;
sor;131;Fifth Brother, Fear Hunter;5;U;Standard;
sor;132;Imperial Interceptor;9;C;Standard;
sor;133;Seventh Sister, Implacable Inquisitor;2;R;Standard;
sor;134;Ruthless Raider;3;U;Standard;
sor;135;Emperor Palpatine;2;R;Standard;
sor;136;Vader's Lightsaber;3;S;Standard;
sor;137;Fallen Lightsaber;2;R;Standard;
sor;138;Force Lightning;1;L;Standard;
sor;139;Force Choke;6;U;Standard;
sor;140;SpecForce Soldier;5;C;Standard;
sor;141;Green Squadron A-Wing;5;C;Standard;
sor;142;Sabine Wren, Explosives Artist;2;U;Standard;
sor;143;Fighters For Freedom;3;U;Standard;
sor;144;Red Three, Unstoppable;3;R;Standard;
sor;145;K-2SO;;R;Standard;
sor;146;Zeb Orrelios, Headstrong Warrior;2;U;Standard;
sor;147;Black One, Scourge of Starkiller Base;;L;Standard;
sor;148;Guerilla Attack Pod;4;C;Standard;
sor;149;Mace Windu, Party Crasher;;L;Standard;
sor;150;Heroic Sacrifice;;R;Standard;
sor;151;Karabast;2;U;Standard;
sor;152;For A Cause I Believe In;;R;Standard;
sor;153;Saw Gerrera, Extremist;;R;Standard;
sor;154;Rallying Cry;2;U;Standard;
sor;155;Aggression;;L;Standard;
sor;156;"Benthic ""Two Tubes""";3;U;Standard;
sor;157;Cantina Braggart;3;C;Standard;
sor;158;Jedha Agitator;3;C;Standard;
sor;159;Partisan Insurgent;4;C;Standard;
sor;160;Wolffe, Suspicious Veteran;2;R;Standard;
sor;161;Ardent Sympathizer;4;C;Standard;
sor;162;Disabling Fang Fighter;7;C;Standard;
sor;163;Star Wing Scout;3;U;Standard;
sor;164;Wampa;4;C;Standard;
sor;165;Occupier Siege Tank;7;C;Standard;
sor;166;Infiltrator's Skill;7;C;Standard;
sor;167;Force Throw;3;U;Standard;
sor;168;Precision Fire;5;C;Standard;
sor;169;Keep Fighting;4;C;Standard;
sor;170;Power Failure;5;C;Standard;
sor;171;Mission Briefing;4;C;Standard;
sor;172;Open Fire;6;C;Standard;
sor;173;Bombing Run;1;R;Standard;
sor;174;Smoke and Cinders;1;R;Standard;
sor;175;Forced Surrender;2;U;Standard;
sor;176;ISB Agent;5;C;Standard;
sor;177;Bib Fortuna, Jabba's Majordomo;3;U;Standard;
sor;178;Cartel Spacer;;U;Standard;
sor;179;Boba Fett, Disintegrator;;L;Standard;
sor;180;Seventh Fleet Defender;5;C;Standard;
sor;181;Jabba The Hutt, Cunning Daimyo;2;R;Standard;
sor;182;Bossk, Deadly Stalker;3;U;Standard;
sor;183;Bounty Hunter Crew;5;C;Standard;
sor;184;Fett's Firespray, Pursuing the Bounty;2;R;Standard;
sor;185;Chimaera, Flagship of the Seventh Fleet;2;R;Standard;
sor;186;No Good to Me Dead;6;U;Standard;
sor;187;I Had No Choice;1;R;Standard;
sor;188;Chopper, Metal Menace;1;R;Standard;
sor;189;Leia Organa, Defiant Princess;3;S;Standard;
sor;190;Lothal Insurgent;7;C;Standard;
sor;191;Vanguard Ace;;U;Standard;
sor;192;Ezra Bridger, Resourceful Troublemaker;6;U;Standard;
sor;193;Millennium Falcon Piece of Junk;;L;Standard;
sor;194;Rogue Operative;4;C;Standard;
sor;195;Auzituck Liberator Gunship;6;C;Standard;
sor;196;Chewbacca, Loyal Companion;3;U;Standard;
sor;197;Lando Calrissian, Responsible Businessman;1;R;Standard;
sor;198;Han Solo;3;R;Standard;
sor;199;Bamboozle;3;U;Standard;
sor;200;Spark of Rebellion;1;R;Standard;
sor;201;Bodhi Rook, Imperial Defector;;R;Standard;
sor;202;Cantina Bouncer;3;U;Standard;
sor;203;Cunning;;L;Standard;
sor;204;Greedo, Slow on the Draw;4;U;Standard;
sor;205;Jawa Scavenger;6;C;Standard;
sor;206;Mining Guid TIE Fighter;3;C;Standard;
sor;207;Crafty Smuggler;6;C;Standard;
sor;208;Outer Rim Headhunter;6;C;Standard;
sor;209;Pirated Starfighter;1;U;Standard;
sor;210;Swoop Racer;5;C;Standard;
sor;211;Gamorrean Guards;5;C;Standard;
sor;212;Strafing Gunship;1;R;Standard;
sor;213;Syndicate Lackeys;2;C;Standard;
sor;214;Smuggling Compartment;1;U;Standard;
sor;215;Snapshot Reflexes;3;C;Standard;
sor;216;Disarm;3;C;Standard;
sor;217;Shoot First;6;U;Standard;
sor;218;Asteroid Sanctuary;6;C;Standard;
sor;219;Sneak Attack;1;R;Standard;
sor;220;Surprise Strike;8;C;Standard;
sor;221;Outmaneuver;3;U;Standard;
sor;222;Waylay;6;C;Standard;
sor;223;Don't Get Cocky;1;R;Standard;
sor;224;Change of Heart;3;L;Standard;
sor;225;TIE/ln Fighter;5;C;Standard;
sor;226;Admiral Motti;3;S;Standard;
sor;227;Snowtrooper Lieutenant;5;C;Standard;
sor;228;Viper Probe Droid;5;C;Standard;
sor;229;Cell Block Guard;4;C;Standard;
sor;230;General Veers, Blizzard Force Commander;4;U;Standard;
sor;231;TIE Advanced;3;U;Standard;
sor;232;AT-ST;5;C;Standard;
sor;233;I am your Father;3;S;Standard;
sor;234;Maximum Firepower;5;C;Standard;
sor;235;Galactic Ambition;;R;Standard;
sor;236;R2-D2;3;S;Standard;
sor;237;Alliance X-Wing;7;C;Standard;
sor;238;C-3PO;3;S;Standard;
sor;239;Rebel Pathfinder;7;C;Standard;
sor;240;Fleet Lieutenant;6;C;Standard;
sor;241;Wing Leader;4;U;Standard;
sor;242;General Dodonna, Massassi Group Commander;3;U;Standard;
sor;243;Regional Sympathizers;3;C;Standard;
sor;244;Snowspeeder;4;C;Standard;
sor;245;Medal Ceremony;6;C;Standard;
sor;246;You're my only hope;;R;Standard;
sor;247;Underworld Thug;7;C;Standard;
sor;248;Volunteer Soldier;9;C;Standard;
sor;249;Frontier AT-RT;4;C;Standard;
sor;250;Corelian Freighter;8;C;Standard;
sor;251;Confiscate;5;C;Standard;
sor;252;Restock;5;C;Standard;
sor;T01;Experience;9;Token;Standard;
sor;T02;Shield;9;Token;Standard;
shd;1;Gar Saxon, Viceroy of Mandalore;1;C;Leader;
shd;2;Qi'ra, I Alone Survived;1;R;Leader;
shd;3;Finn, This is a Rescue;1;R;Leader;
shd;4;Rey, More Than A Scavenger;1;C;Leader;
shd;5;Hondo Ohnaka, That's Good Business;1;C;Leader;
shd;6;Jabba the Hutt, His High Exaltedness;1;R;Leader;
shd;7;Moff Gideon, Formidable Commander;;S;Leader;
shd;8;Boba Fett, Daimyo;1;C;Leader;
shd;9;Hunter, Outcast Sergeant;1;R;Leader;
shd;10;Bossk, Hunting His Prey;1;C;Leader;
shd;11;Kylo Ren, Rash and Deadly;1;R;Leader;
shd;12;Bo-Katan Kryze, Princess in Exile;1;R;Leader;
shd;13;Han Solo, Worth the Risk;1;C;Leader;
shd;14;Cad Bane, He who needs no introduction;1;C;Leader;
shd;15;Doctor Aphra, Rapacious Archaeologist;;R;Leader;
shd;16;Fennec Shand, Honoring the Deal;1;C;Leader;
shd;17;Lando Calrissian, With Impeccable Taste;1;R;Leader;
shd;18;The Mandalorian, Sworn to the Creed;;S;Leader;
shd;19;Remnant Science Facility;;C;Base;
shd;20;Remote Village;;C;Base;
shd;21;Maz Kanata's Castle;;C;Base;
shd;22;Nevarro City;;C;Base;
shd;23;Death Watch Hideout;;C;Base;
shd;24;Spice Mines;;C;Base;
shd;25;Coronet City;;C;Base;
shd;26;Jabba's Palace;;C;Base;
shd;27;Hylobon Enforcer;2;C;Standard;
shd;28;Doctor Pershing, Experimenting with Life;1;R;Standard;
shd;29;Pyke Sentinel;4;C;Standard;
shd;30;Death Trooper;6;S;Standard;
shd;31;The Client, Dictated by Discretion;3;U;Standard;
shd;32;Lom Pyke, Dealer in Truths;;R;Standard;
shd;33;Synara San, Loyal to Kragan;2;U;Standard;
shd;34;Supercommando Squad;2;C;Standard;
shd;35;Clan Saxon Gauntlet;2;U;Standard;
shd;36;First Light, Headquarters of the Crimson Dawn;1;R;Standard;
shd;37;Supreme Leader Snoke, Shadow Ruler;1;L;Standard;
shd;38;Brutal Traditions;2;U;Standard;
shd;39;Calculated Lethality;;S;Standard;
shd;40;Clan Wren Rescuer;3;C;Standard;
shd;41;Kuil, I have spoken;3;U;Standard;
shd;42;Concord Dawn Interceptors;2;U;Standard;
shd;43;Village Protectors;2;C;Standard;
shd;44;Razor Crest, Reliable Gunship;;S;Standard;
shd;45;Rose Tico, Dedicated to the Cause;1;U;Standard;
shd;46;Rey, Keeping the Past;;L;Standard;
shd;47;The Armorer, Survival is Strength;1;U;Standard;
shd;48;Gentle Giant;3;C;Standard;
shd;49;The Mandalorian, Where I go, He Goes;;L;Standard;
shd;50;Chewbacca, Pykesbane;;R;Standard;
shd;51;Mystic Reflection;;R;Standard;
shd;52;Sugi, Hired Guardian;;R;Standard;
shd;53;Second Chance;;L;Standard;
shd;54;Midnight Repairs;1;U;Standard;
shd;55;Moisture Farmer;2;C;Standard;
shd;56;Follower of The Way;3;C;Standard;
shd;57;Rickety Quadjumper;2;C;Standard;
shd;58;Val, Loyal to the End;1;R;Standard;
shd;59;Embo, Stoic and Resolute;1;U;Standard;
shd;60;HWK-290 Freighter;2;C;Standard;
shd;61;Wroshyr Tree Tender;3;C;Standard;
shd;62;Niima Outpost Constables;3;C;Standard;
shd;63;System Patrol Craft;;S;Standard;
shd;64;Survivors' Gauntlet;1;R;Standard;
shd;65;Vigilant Pursuit Craft;2;C;Standard;
shd;66;Cargo Juggernaut;6;C;Standard;
shd;67;Fenn Rau, Protector of Concord Dawn;1;U;Standard;
shd;68;Public Enemy;2;C;Standard;
shd;69;Foundling;2;C;Standard;
shd;70;Resilient;;S;Standard;
shd;71;Top Target;2;U;Standard;
shd;72;Imprisoned;1;R;Standard;
shd;73;Mandalorian Armor;;R;Standard;
shd;74;Vambrace Grappleshot;3;C;Standard;
shd;75;Covert Strength;3;C;Standard;
shd;76;Unexpected Escape;1;U;Standard;
shd;77;Evidence of the Crime;;R;Standard;
shd;78;Fell the Dragon;2;U;Standard;
shd;79;Rival's Fall;4;C;Standard;
shd;80;Salacious Crumb, Obnoxious Pet;2;U;Standard;
shd;81;General Tagge, Concerned Commander;;S;Standard;
shd;82;Outland TIE Vanguard;2;C;Standard;
shd;83;Seasoned Shoretrooper;6;S;Standard;
shd;84;Phase-III Dark Trooper;;S;Standard;
shd;85;Superlaser Technician;6;C;Standard;
shd;86;Warbird Stowaway;3;C;Standard;
shd;87;Crosshair, Following Orders;1;U;Standard;
shd;88;Ephant Mon, Head of Security;;R;Standard;
shd;89;Pirate Battle Tank;2;C;Standard;
shd;90;Maul, Shadow Collective Visionary;;R;Standard;
shd;91;Jabba's Rancor, Pateesa;3;U;Standard;
shd;92;Finalizer, Might of the First Order;1;L;Standard;
shd;93;Remnant Reserves;1;U;Standard;
shd;94;Palpatine's Return;1;R;Standard;
shd;95;Clone Deserter;6;C;Standard;
shd;96;Maz Kanata, Pirate Queen;;R;Standard;
shd;97;Freetown Backup;1;U;Standard;
shd;98;Sundari Peacekeeper;1;U;Standard;
shd;99;Echo, Restored;1;U;Standard;
shd;100;Modded Cohort;3;C;Standard;
shd;101;Adelphi Patrol Wing;2;C;Standard;
shd;102;The Marauder, Shuttling the Bad Batch;;R;Standard;
shd;103;General Rieekan, Defensive Strategist;1;R;Standard;
shd;104;Inspiring Mentor;;R;Standard;
shd;105;Spark of Hope;2;U;Standard;
shd;106;Rule with Respect;;L;Standard;
shd;107;Enterprising Lackeys;;R;Standard;
shd;108;Enforced Loyalty;2;U;Standard;
shd;109;Endless Legions;1;L;Standard;
shd;110;Warzone Lieutenant;2;C;Standard;
shd;111;Collections Starhopper;4;C;Standard;
shd;112;Gamorrean Retainer;2;C;Standard;
shd;113;Privateer Crew;1;U;Standard;
shd;114;Scanning Officer;2;U;Standard;
shd;115;Cobb Vanth, The Marshal;1;R;Standard;
shd;116;Outlaw Corona;3;C;Standard;
shd;117;Reputable Hunter;4;C;Standard;
shd;118;Kihraxz Heavy Fighter;1;U;Standard;
shd;119;Weequay Pirate Gang;3;C;Standard;
shd;120;Discerning Veteran;2;C;Standard;
shd;121;Mercenary Company;6;C;Standard;
shd;122;Arquitens Assault Cruiser;1;R;Standard;
shd;123;Bounty Hunter's Quarry;3;U;Standard;
shd;124;Legal Authority;;R;Standard;
shd;125;Price on Your Head;2;C;Standard;
shd;126;The Darksaber;;L;Standard;
shd;127;Commission;1;U;Standard;
shd;128;Outflank;2;C;Standard;
shd;129;Timely Intervention;2;C;Standard;
shd;130;Moment of Glory;2;C;Standard;
shd;131;Take Captive;5;C;Standard;
shd;132;Choose Sides;1;R;Standard;
shd;133;Dengar, The Demolisher;1;U;Standard;
shd;134;Guavian Antagonizer;2;C;Standard;
shd;135;Kylo's TIE Silencer, Ruthlessly Efficient;;L;Standard;
shd;136;Death Watch Loyalist;4;C;Standard;
shd;137;Punishing One, Dengar's Jumpmaster;1;U;Standard;
shd;138;Jango Fett, Renowned Bounty Hunter;2;R;Standard;
shd;139;Krrsantan, Muscle for Hire;2;U;Standard;
shd;140;Trandoshan Hunters;2;C;Standard;
shd;141;Kylo Ren, Killing the Past;1;L;Standard;
shd;142;Pre Vizsla, Power Hungry;;R;Standard;
shd;143;Ruthlessness;1;R;Standard;
shd;144;Give In to Your Anger;1;R;Standard;
shd;145;Headhunting;1;U;Standard;
shd;146;Heroic Renegade;2;C;Standard;
shd;147;Ketsu Onyo, Old Friend;2;U;Standard;
shd;148;Cassian Andor, Rebellions are built on Hope;3;U;Standard;
shd;149;Nite Owl Skirmisher;2;C;Standard;
shd;150;Koska Reeves, Loyal Nite Owl;;R;Standard;
shd;151;Valiant Assault Ship;2;U;Standard;
shd;152;Desperado Freighter;4;C;Standard;
shd;153;Poe Dameron, Quick to Improvise;;L;Standard;
shd;154;Wrecker, BOOM!;1;R;Standard;
shd;155;Heroic Resolve;1;R;Standard;
shd;156;Cripple Authority;1;U;Standard;
shd;157;Bo-Katan Kryze, Fighting for Mandalore;1;U;Standard;
shd;158;Wild Rancor;;R;Standard;
shd;159;The Chaos of War;;R;Standard;
shd;160;Reckless Gunslinger;2;C;Standard;
shd;161;Stolen Landspeeder;1;R;Standard;
shd;162;House Kast Soldier;2;C;Standard;
shd;163;Migs Mayfeld, Triggerman;1;R;Standard;
shd;164;Rhokai Gunship;3;C;Standard;
shd;165;Unlicensed Headhunter;2;U;Standard;
shd;166;Disabling Fang Fighter;6;C;Standard;
shd;167;Wanted Insurgents;2;C;Standard;
shd;168;Hunting Nexu;2;C;Standard;
shd;169;Clan Challengers;2;C;Standard;
shd;170;IG-11, I cannot be captured;2;U;Standard;
shd;171;Covetous Rivals;2;C;Standard;
shd;172;Krayt Dragon;;L;Standard;
shd;173;Guild Target;1;U;Standard;
shd;174;Hotshot DL-44 Blaster;;R;Standard;
shd;175;Armed to the Teeth;1;U;Standard;
shd;176;Death Mark;3;C;Standard;
shd;177;Vambrace Flamethrower;1;R;Standard;
shd;178;Daring Raid;6;C;Standard;
shd;179;Desperate Attack;3;C;Standard;
shd;180;Detention Block Rescue;2;C;Standard;
shd;181;Pillage;4;C;Standard;
shd;182;Bravado;1;U;Standard;
shd;183;Kintan Intimidator;3;C;Standard;
shd;184;Bazine Netal, Spy for the First Order;1;R;Standard;
shd;185;Doctor Evazan, Wanted on Twelve Systems;;R;Standard;
shd;186;Hunter of the Haxion Brood;2;C;Standard;
shd;187;Lurking TIE Phantom;1;U;Standard;
shd;188;4-L0M, Bounty Hunter for Hire;2;U;Standard;
shd;189;Slaver's Freighter;2;C;Standard;
shd;190;Zuckuss, Bounty Hunter for Hire;3;U;Standard;
shd;191;Xanadu Blood, Cad Bane's Reward;;R;Standard;
shd;192;Dryden Vos, Offering No Escape;;L;Standard;
shd;193;Frozen in Carbonite;1;U;Standard;
shd;194;Triple Dark Raid;;R;Standard;
shd;195;Cartel Turncoat;5;C;Standard;
shd;196;Grogu, Irresistible;;S;Standard;
shd;197;L3-37, Droid Revolutionary;3;U;Standard;
shd;198;Omega, Part of the Squad;;R;Standard;
shd;199;Coruscant Dissident;1;U;Standard;
shd;200;Liberated Slaves;4;C;Standard;
shd;201;Principled Outlaw;2;C;Standard;
shd;202;Qi'ra, Playing her Part;3;R;Standard;
shd;203;Zorii Bliss, Valiant Smuggler;1;R;Standard;
shd;204;Millennium Falcon, Lando's Pride;2;U;Standard;
shd;205;Let the Wookiee Win;;R;Standard;
shd;206;Spare the Target;1;U;Standard;
shd;207;A New Adventure;1;U;Standard;
shd;208;Final Showdown;;L;Standard;
shd;209;Criminal Muscle;3;C;Standard;
shd;210;Cloud-Rider;2;C;Standard;
shd;211;Fugitive Wookiee;2;C;Standard;
shd;212;Privateer Scyk;3;C;Standard;
shd;213;DJ, Blantant Thief;;L;Standard;
shd;214;Frontier Trader;2;C;Standard;
shd;215;Smuggler's Starfighter;3;C;Standard;
shd;216;Chain Code Collector;2;C;Standard;
shd;217;Tobias Beckett, I Trust No One;1;R;Standard;
shd;218;Resourceful Pursuers;3;C;Standard;
shd;219;Enfys Nest, Marauder;1;U;Standard;
shd;220;Fennec Shand, Loyal Sharpshooter;3;U;Standard;
shd;221;Wanted;2;C;Standard;
shd;222;Enticing Reward;3;U;Standard;
shd;223;Snapshot Reflexes;6;S;Standard;
shd;224;Boba Fett's Armor;1;R;Standard;
shd;225;Jetpack;1;U;Standard;
shd;226;Unrefusable Offer;1;R;Standard;
shd;227;Look the Other Way;3;C;Standard;
shd;228;Bounty Posting;1;U;Standard;
shd;229;Ma Klounkee;3;C;Standard;
shd;230;Swoop Down;;R;Standard;
shd;231;Surprise Strike;6;C;Standard;
shd;232;Relentless Pursuit;2;C;Standard;
shd;233;Evacuate;1;L;Standard;
shd;234;Incinerator Trooper;;S;Standard;
shd;235;Ruthless Assassin;2;C;Standard;
shd;236;Snowtrooper Lieutenant;6;S;Standard;
shd;237;Black Sun Starfighter;2;C;Standard;
shd;238;Cell Block Guard;6;S;Standard;
shd;239;Toro Calican, Ambitious Upstart;2;U;Standard;
shd;240;Hutt's Henchmen;4;C;Standard;
shd;241;Kragan Gorr, Warbird Captain;1;R;Standard;
shd;242;Gideon's Light Cruiser, Dark Troopers' Station;;S;Standard;
shd;243;Altering the Deal;;R;Standard;
shd;244;No Bargain;3;C;Standard;
shd;245;Greef Karga, Affadable Commissioner;;S;Standard;
shd;246;Grey Squadron Y-Wing;2;C;Standard;
shd;247;Protector of the Throne;2;C;Standard;
shd;248;Tech, Source of Insight;1;R;Standard;
shd;249;Wookiee Warrior;3;C;Standard;
shd;250;Tarfful, Kashyyyk Chieftain;;R;Standard;
shd;251;The Mandalorian's Rifle;;S;Standard;
shd;252;Smuggler's Aid;2;C;Standard;
shd;253;This Is The Way;2;U;Standard;
shd;254;Bounty Guild Initiate;3;C;Standard;
shd;255;Lady Proxima, White Worm Matriarch;1;U;Standard;
shd;256;Mercenary Gunship;1;U;Standard;
shd;257;Underworld Thug;7;C;Standard;
shd;258;Mandalorian Warrior;2;C;Standard;
shd;259;Twin Pod Cloud Car;2;C;Standard;
shd;260;Street Gang Recruiter;3;C;Standard;
shd;261;Rich Reward;4;C;Standard;
shd;262;Confiscate;6;S;Standard;
shd;T01;Experience;9;Token;Standard;
shd;T02;Shield;9;Token;Standard;
twi;1;Nala Se, Clone Engineer;1;R;Leader;
twi;2;Nute Gunray, Vindictive Viceroy;1;C;Leader;
twi;3;Obi-Wan Kenobi, Patient Mentor;1;C;Leader;
twi;4;Yoda, Sensing Darkness;1;R;Leader;
twi;5;Count Dooku, Face of the Confederacy;1;C;Leader;
twi;6;Wat Tambor, Techno Union Foreman;1;R;Leader;
twi;7;Captain Rex, Fighting for his Brothers;;R;Leader;
twi;8;Padmé Amidala, Serving the Republic;1;C;Leader;
twi;9;Maul, A rival in darkness;1;C;Leader;
twi;10;Pre Vizsla, Pursuing the Throne;;R;Leader;
twi;11;Ahsoka Tano, Snips;1;S;Leader;
twi;12;Anakin Skywalker, What it takes to win;1;C;Leader;
twi;13;Mace Windu, Vaapad For Master;1;R;Leader;
twi;14;Asajj Ventress, Unparalleled Adversary;1;R;Leader;
twi;15;General Grievous, General of the Droid Armies;1;S;Leader;
twi;16;Jango Fett, Concealing the Conspiracy;1;C;Leader;
twi;17;Chancellor Palpatine, Playing Both Sides;1;R;Leader;
twi;18;Quinlan Vos, Sticking the Landing;1;C;Leader;
twi;19;Pau City;;R;Base;
twi;20;Sundari;;C;Base;
twi;21;The Crystal City;;C;Base;
twi;22;Droid Manufactory;;R;Base;
twi;23;Lair of Grievous;;C;Base;
twi;24;Tipoca City;;C;Base;
twi;25;Shadow Collective Camp;;R;Base;
twi;26;KCM Mining Facility;;C;Base;
twi;27;The Nest;;C;Base;
twi;28;Petranaki Arena;1;R;Base;
twi;29;Level 1313;;C;Base;
twi;30;Pyke Palace;;C;Base;
twi;31;Rune Haako, Scheming Second;3;U;Standard;
twi;32;Wartime Trade Official;3;C;Standard;
twi;33;Calculating MagnaGuard;2;U;Standard;
twi;34;General Grievous, Trophy Collector;;L;Standard;
twi;35;Morgan Elsbeth, Keeper of Many Secrets;2;R;Standard;
